Ticker,close,date,high,low,open,volume
BEL,139.2,2023-10-03,140.6,137.2,137.9,19010910
BEL,138.85,2023-10-04,139.15,136.55,138.0,14912053
BEL,138.95,2023-10-05,141.35,138.1,139.5,15996620
BEL,139.0,2023-10-06,140.5,138.65,139.0,4987359
BEL,135.75,2023-10-09,137.6,135.05,136.2,10489249
BEL,139.95,2023-10-10,141.0,136.5,137.4,15593722
BEL,137.75,2023-10-11,140.5,137.5,139.95,10778916
BEL,138.2,2023-10-12,138.7,137.2,137.95,7567439
BEL,137.45,2023-10-13,138.2,136.3,136.3,8303230
BEL,137.4,2023-10-16,137.9,136.55,137.0,7785480
BEL,138.55,2023-10-17,138.9,137.5,137.5,6076896
BEL,137.05,2023-10-18,138.95,136.4,138.75,6806231
BEL,137.0,2023-10-19,137.2,135.05,136.0,7775836
BEL,134.2,2023-10-20,136.9,133.5,136.7,8982112
BEL,132.7,2023-10-23,135.9,131.4,134.3,19333777
BEL,131.2,2023-10-25,134.65,129.25,132.5,10225867
BEL,128.85,2023-10-26,130.2,127.0,130.0,18167694
BEL,132.2,2023-10-27,132.85,129.25,129.25,8761931
BEL,131.95,2023-10-30,133.95,130.8,133.5,9052085
BEL,133.25,2023-10-31,133.65,130.75,132.5,8098744
BEL,132.4,2023-11-01,134.55,132.05,133.75,10431945
BEL,134.75,2023-11-02,135.0,133.3,133.7,4885035
BEL,135.95,2023-11-03,137.0,134.75,135.15,9154983
BEL,137.65,2023-11-06,138.0,136.0,136.95,7070089
BEL,138.05,2023-11-07,138.95,136.7,137.55,8587321
BEL,140.4,2023-11-08,141.15,137.7,137.75,9755483
BEL,137.95,2023-11-09,139.95,137.6,139.95,5481774
BEL,138.8,2023-11-10,139.1,137.05,137.5,5781314
BEL,139.6,2023-11-12,140.3,139.3,139.95,1362464
BEL,143.4,2023-11-13,144.2,139.05,139.15,20245049
BEL,143.05,2023-11-15,145.4,142.5,144.5,11440473
BEL,142.6,2023-11-16,144.35,142.2,143.25,11453235
BEL,146.1,2023-11-17,146.5,141.8,142.85,13496261
BEL,143.85,2023-11-20,146.75,143.15,146.4,7741502
BEL,142.85,2023-11-21,144.55,142.25,144.15,9972235
BEL,141.85,2023-11-22,143.45,140.15,143.25,7445272
BEL,139.35,2023-11-23,142.55,139.1,141.85,13138745
BEL,140.35,2023-11-24,142.15,137.35,139.95,19614754
BEL,141.3,2023-11-28,141.8,140.4,141.65,8595693
BEL,141.0,2023-11-29,142.65,140.5,142.05,14680789
BEL,145.9,2023-11-30,146.35,140.75,141.0,27591484
BEL,147.45,2023-12-01,150.3,146.75,147.95,34466616
BEL,153.55,2023-12-04,157.5,151.6,152.0,51416976
BEL,152.0,2023-12-05,155.1,149.95,153.7,29109123
BEL,156.15,2023-12-06,157.15,151.85,152.6,26688698
BEL,160.35,2023-12-07,161.8,158.25,161.8,51346222
BEL,158.75,2023-12-08,162.35,157.3,161.35,22869782
