Ticker,close,date,high,low,open,volume
BPCL,170.68,2023-10-03,174.6,170.43,174.25,10514554
BPCL,170.68,2023-10-04,172.48,169.78,170.68,6049760
BPCL,172.23,2023-10-05,173.88,171.4,172.75,7115506
BPCL,173.6,2023-10-06,174.5,172.0,172.5,3717076
BPCL,170.0,2023-10-09,170.83,168.08,170.5,8740080
BPCL,170.2,2023-10-10,171.3,169.6,170.03,3572978
BPCL,171.28,2023-10-11,172.65,170.75,171.1,4799512
BPCL,174.35,2023-10-12,175.18,172.03,172.45,7703802
BPCL,173.85,2023-10-13,175.3,173.53,173.55,3981804
BPCL,173.63,2023-10-16,174.23,171.0,172.5,3262470
BPCL,177.35,2023-10-17,178.85,173.35,174.45,10443728
BPCL,175.1,2023-10-18,178.25,174.43,177.5,9162228
BPCL,176.85,2023-10-19,177.28,174.58,174.75,5743188
BPCL,173.2,2023-10-20,176.4,172.28,175.3,4400690
BPCL,171.4,2023-10-23,173.65,170.83,172.78,7813800
BPCL,169.98,2023-10-25,173.25,169.25,171.28,5429774
BPCL,167.5,2023-10-26,169.48,165.73,168.8,7743878
BPCL,167.48,2023-10-27,169.13,167.0,167.5,2996088
BPCL,173.45,2023-10-30,174.45,168.55,169.0,21873188
BPCL,174.63,2023-10-31,176.98,172.33,174.18,10673186
BPCL,178.45,2023-11-01,179.38,175.28,175.28,13929780
BPCL,180.28,2023-11-02,181.0,178.63,180.48,10130432
BPCL,180.75,2023-11-03,181.85,180.1,180.58,5627900
BPCL,183.13,2023-11-06,184.58,180.68,181.4,9072020
BPCL,186.4,2023-11-07,186.83,183.1,183.4,10702176
BPCL,192.1,2023-11-08,193.95,187.03,187.73,24020912
BPCL,191.78,2023-11-09,195.33,191.4,192.55,12843896
BPCL,192.03,2023-11-10,193.05,190.25,190.9,4932486
BPCL,192.05,2023-11-12,194.0,191.58,192.5,776810
BPCL,193.55,2023-11-13,194.35,191.75,191.75,4838906
BPCL,196.28,2023-11-15,196.7,193.58,194.0,11266250
BPCL,199.33,2023-11-16,200.65,196.5,197.0,15416172
BPCL,195.13,2023-11-17,203.55,194.63,200.0,16380696
BPCL,196.0,2023-11-20,196.7,193.73,195.33,4506882
BPCL,194.0,2023-11-21,196.6,193.3,196.0,4477214
BPCL,201.05,2023-11-22,201.4,195.55,196.0,25730664
BPCL,205.65,2023-11-23,206.75,200.33,201.78,16239092
BPCL,205.3,2023-11-24,206.5,203.5,206.5,10975546
BPCL,212.25,2023-11-28,212.95,206.55,207.03,23186856
BPCL,214.33,2023-11-29,217.23,209.35,213.0,25208812
BPCL,217.85,2023-11-30,219.38,214.53,217.25,32721308
BPCL,219.0,2023-12-01,221.2,216.7,220.0,19278842
BPCL,230.75,2023-12-04,232.4,222.0,222.5,41482794
BPCL,236.1,2023-12-05,238.23,232.5,235.03,38376064
BPCL,236.43,2023-12-06,241.25,234.15,240.5,27408826
BPCL,237.35,2023-12-07,239.5,235.75,238.5,23850564
BPCL,235.23,2023-12-08,238.73,232.9,238.45,18940478
BPCL,232.75,2023-12-11,237.43,228.28,237.43,27693108
BPCL,223.78,2023-12-12,225.73,222.75,222.75,19940320
BPCL,223.75,2023-12-13,227.18,222.98,224.75,26664018
BPCL,222.85,2023-12-14,224.98,221.03,224.98,12555568
BPCL,224.5,2023-12-15,226.73,221.1,222.5,22079148
BPCL,223.63,2023-12-18,225.13,222.05,224.5,16831064
BPCL,224.88,2023-12-19,225.75,222.53,223.63,12644672
BPCL,219.73,2023-12-20,227.68,219.18,226.7,17347978
BPCL,224.78,2023-12-21,225.23,216.23,217.45,18554414
BPCL,223.33,2023-12-22,226.68,222.53,224.85,11559264
BPCL,225.8,2023-12-26,228.25,222.25,224.0,22976450
BPCL,227.35,2023-12-27,228.2,224.15,226.98,12398088
