Ticker,close,date,high,low,open,volume
HDFCLIFE,633.55,2023-10-03,637.5,628.55,634.45,3454441
HDFCLIFE,625.5,2023-10-04,632.0,624.25,631.0,2357914
HDFCLIFE,624.35,2023-10-05,627.75,619.9,626.0,4050085
HDFCLIFE,630.9,2023-10-06,636.2,622.75,624.55,3713370
HDFCLIFE,615.15,2023-10-09,629.55,613.35,625.0,3308557
HDFCLIFE,621.25,2023-10-10,624.75,615.15,616.1,4054232
HDFCLIFE,621.5,2023-10-11,627.0,619.0,626.95,3102088
HDFCLIFE,624.65,2023-10-12,626.3,619.0,622.05,2810053
HDFCLIFE,625.25,2023-10-13,633.0,614.5,623.25,5462771
HDFCLIFE,630.05,2023-10-16,635.0,619.65,633.0,3399593
HDFCLIFE,641.8,2023-10-17,645.9,630.55,632.5,4443295
HDFCLIFE,645.0,2023-10-18,648.45,637.75,641.65,2187089
HDFCLIFE,639.0,2023-10-19,644.25,629.15,639.0,3371397
HDFCLIFE,639.95,2023-10-20,641.95,630.0,636.95,1853937
HDFCLIFE,625.25,2023-10-23,644.7,621.8,638.0,2502483
HDFCLIFE,616.45,2023-10-25,627.95,607.7,625.25,2821496
HDFCLIFE,605.85,2023-10-26,614.95,602.7,611.85,2011512
HDFCLIFE,608.65,2023-10-27,615.6,606.05,606.05,1348147
HDFCLIFE,607.6,2023-10-30,618.0,600.75,609.8,1882245
HDFCLIFE,618.35,2023-10-31,621.0,604.45,607.1,2661284
HDFCLIFE,620.05,2023-11-01,623.95,616.9,621.8,1947740
HDFCLIFE,619.3,2023-11-02,626.8,618.0,622.0,1651263
HDFCLIFE,622.1,2023-11-03,625.0,619.6,622.0,1450553
HDFCLIFE,621.8,2023-11-06,626.3,619.4,622.1,1789823
HDFCLIFE,622.45,2023-11-07,624.0,614.7,623.4,2747838
HDFCLIFE,618.75,2023-11-08,624.85,617.5,624.0,1332249
HDFCLIFE,621.35,2023-11-09,625.0,613.2,618.75,2235630
HDFCLIFE,626.75,2023-11-10,631.5,620.05,620.85,2449660
HDFCLIFE,626.9,2023-11-12,629.9,624.55,629.0,190819
HDFCLIFE,621.05,2023-11-13,628.2,617.0,625.15,2047300
HDFCLIFE,636.15,2023-11-15,639.4,627.0,632.95,2033627
HDFCLIFE,634.95,2023-11-16,639.7,632.0,636.9,1753550
HDFCLIFE,651.8,2023-11-17,660.0,632.0,632.85,4306473
HDFCLIFE,652.4,2023-11-20,655.2,647.5,654.95,2178344
HDFCLIFE,667.9,2023-11-21,672.05,654.25,655.0,5077816
HDFCLIFE,668.5,2023-11-22,675.35,665.3,669.75,2664154
HDFCLIFE,665.0,2023-11-23,677.0,659.5,668.05,2184014
HDFCLIFE,668.0,2023-11-24,672.25,663.05,666.05,1511079
HDFCLIFE,673.3,2023-11-28,676.7,668.05,668.05,1900825
HDFCLIFE,675.65,2023-11-29,680.45,671.3,677.0,1829510
HDFCLIFE,690.75,2023-11-30,693.0,674.55,676.9,4637116
HDFCLIFE,682.15,2023-12-01,695.0,680.05,694.05,2106753
HDFCLIFE,674.95,2023-12-04,689.8,672.25,689.8,4817286
HDFCLIFE,672.75,2023-12-05,681.3,667.7,679.0,4028068
HDFCLIFE,677.35,2023-12-06,681.8,675.05,677.0,1627777
HDFCLIFE,678.3,2023-12-07,685.7,675.55,680.9,3853936
HDFCLIFE,671.25,2023-12-08,684.0,667.0,680.45,2713075
HDFCLIFE,672.5,2023-12-11,674.5,667.25,671.05,1897948
HDFCLIFE,707.35,2023-12-12,710.6,675.35,676.9,10749420
HDFCLIFE,698.2,2023-12-13,707.0,689.2,706.5,4757264
HDFCLIFE,684.55,2023-12-14,704.0,679.1,702.0,6251731
HDFCLIFE,673.1,2023-12-15,688.0,663.25,688.0,8720610
HDFCLIFE,672.25,2023-12-18,674.8,666.8,673.8,2050286
HDFCLIFE,666.05,2023-12-19,674.05,664.3,673.0,3794818
HDFCLIFE,644.1,2023-12-20,674.0,640.3,671.9,3772684
HDFCLIFE,644.2,2023-12-21,648.7,637.15,641.0,2755102
HDFCLIFE,639.85,2023-12-22,649.0,637.1,646.0,2854029
HDFCLIFE,638.0,2023-12-26,645.9,634.0,641.0,2202221
HDFCLIFE,643.8,2023-12-27,646.0,638.4,643.0,2353373
HDFCLIFE,648.1,2023-12-28,650.95,644.25,647.0,3566880
HDFCLIFE,646.7,2023-12-29,649.85,643.0,648.1,1653662
HDFCLIFE,648.7,2024-01-01,652.35,644.35,647.0,1343888
HDFCLIFE,645.5,2024-01-02,654.3,642.6,649.5,3005450
HDFCLIFE,637.2,2024-01-03,648.45,636.1,644.0,1893956
HDFCLIFE,647.95,2024-01-04,649.0,638.0,638.0,4412550
HDFCLIFE,646.75,2024-01-05,654.55,642.45,648.5,1394951
HDFCLIFE,645.85,2024-01-08,654.15,641.7,647.0,2064691
HDFCLIFE,640.9,2024-01-09,650.8,638.6,647.0,3648496
HDFCLIFE,644.95,2024-01-10,650.35,641.45,642.0,3288472
HDFCLIFE,644.0,2024-01-11,653.1,639.9,646.0,2800658
HDFCLIFE,637.6,2024-01-12,648.6,621.3,646.85,7076942
HDFCLIFE,614.45,2024-01-15,637.0,611.85,637.0,12433539
HDFCLIFE,611.25,2024-01-16,616.85,609.05,615.75,8761562
HDFCLIFE,606.6,2024-01-17,618.5,605.1,611.0,10183042
HDFCLIFE,607.8,2024-01-18,612.3,600.6,608.0,3658639
HDFCLIFE,615.9,2024-01-19,618.4,609.8,614.5,2563065
HDFCLIFE,608.0,2024-01-20,619.5,607.35,618.0,1194291
HDFCLIFE,586.15,2024-01-23,613.75,582.8,600.25,5994679
HDFCLIFE,581.65,2024-01-24,591.0,576.7,590.0,6144401
HDFCLIFE,579.0,2024-01-25,586.55,577.3,584.15,3725167
HDFCLIFE,578.55,2024-01-29,584.0,575.05,575.05,4399011
