Ticker,close,date,high,low,open,volume
SBIN,602.95,2023-10-03,604.9,589.6,596.6,15322196
SBIN,586.25,2023-10-04,600.45,584.45,600.0,24914612
SBIN,592.15,2023-10-05,594.35,587.1,590.0,13248028
SBIN,594.25,2023-10-06,598.95,592.2,593.4,8216780
SBIN,585.1,2023-10-09,589.0,581.55,588.0,9189597
SBIN,591.65,2023-10-10,595.0,585.75,587.0,10373508
SBIN,588.35,2023-10-11,597.0,587.6,596.9,14220119
SBIN,586.05,2023-10-12,593.0,585.0,590.8,11983797
SBIN,576.15,2023-10-13,581.3,574.8,577.75,19064577
SBIN,575.65,2023-10-16,578.75,571.5,576.0,11290293
SBIN,576.45,2023-10-17,579.95,575.3,577.7,10765224
SBIN,572.65,2023-10-18,579.25,569.35,577.75,11777454
SBIN,571.2,2023-10-19,574.0,567.0,569.8,11441499
SBIN,563.1,2023-10-20,570.0,562.1,569.9,11110988
SBIN,552.95,2023-10-23,566.0,551.0,563.1,11875035
SBIN,556.2,2023-10-25,560.8,553.6,558.6,12134624
SBIN,547.0,2023-10-26,552.9,543.2,551.45,19424825
SBIN,561.15,2023-10-27,562.5,550.0,550.0,10415296
SBIN,565.2,2023-10-30,566.7,556.5,563.0,8593704
SBIN,565.55,2023-10-31,569.5,563.15,567.0,13039696
SBIN,566.4,2023-11-01,569.65,563.85,566.25,13575575
SBIN,572.1,2023-11-02,575.45,567.6,571.1,11148516
SBIN,578.15,2023-11-03,579.5,573.45,576.0,11371371
SBIN,574.35,2023-11-06,582.5,573.25,582.0,16499138
SBIN,579.75,2023-11-07,581.2,572.6,574.8,17923281
SBIN,580.3,2023-11-08,582.6,579.0,581.9,15434808
SBIN,578.35,2023-11-09,581.85,576.5,581.0,12434363
SBIN,579.5,2023-11-10,581.0,575.4,577.8,6773038
SBIN,581.3,2023-11-12,584.75,580.1,584.75,1947722
SBIN,581.35,2023-11-13,582.5,575.2,581.0,11282362
SBIN,584.7,2023-11-15,588.0,582.6,587.25,11397676
SBIN,584.65,2023-11-16,588.0,582.9,584.7,8622660
SBIN,563.05,2023-11-17,574.5,562.1,574.5,37173221
SBIN,563.75,2023-11-20,566.8,560.6,564.0,12714585
SBIN,561.5,2023-11-21,566.65,561.0,566.0,14280013
SBIN,558.95,2023-11-22,564.5,555.15,562.95,14909071
SBIN,559.95,2023-11-23,563.5,558.3,561.75,6376210
SBIN,560.35,2023-11-24,562.45,559.25,561.95,6529851
SBIN,564.45,2023-11-28,565.2,561.1,563.6,8153314
SBIN,568.6,2023-11-29,569.0,565.1,568.0,10299034
SBIN,564.75,2023-11-30,570.2,563.65,569.75,19758998
SBIN,571.75,2023-12-01,574.2,566.55,567.0,10614230
SBIN,594.7,2023-12-04,596.0,584.55,588.0,26077882
SBIN,608.25,2023-12-05,611.3,595.05,595.05,36430152
SBIN,608.45,2023-12-06,614.0,604.55,614.0,21439069
SBIN,611.7,2023-12-07,612.55,605.0,610.0,10725706
SBIN,614.15,2023-12-08,616.8,605.35,610.0,17722136
SBIN,614.25,2023-12-11,619.9,613.1,615.0,11706255
SBIN,612.4,2023-12-12,617.95,610.8,617.0,14494836
SBIN,619.85,2023-12-13,620.5,611.65,614.45,13977914
SBIN,623.65,2023-12-14,627.75,622.4,626.0,15813797
SBIN,648.25,2023-12-15,650.0,619.85,628.0,29813572
SBIN,648.5,2023-12-18,655.65,642.4,646.65,16221796
SBIN,655.4,2023-12-19,659.6,640.25,648.5,19964008
