Ticker,close,date,high,low,open,volume
TATASTEEL,128.0,2023-10-03,129.1,127.25,129.0,18613557
TATASTEEL,125.3,2023-10-04,127.1,124.5,127.0,33272725
TATASTEEL,125.25,2023-10-05,126.15,124.55,125.9,27063441
TATASTEEL,125.9,2023-10-06,127.0,125.1,126.5,21928671
TATASTEEL,123.85,2023-10-09,124.9,122.6,124.8,21457836
TATASTEEL,125.3,2023-10-10,125.9,123.75,124.7,28745957
TATASTEEL,124.95,2023-10-11,126.3,124.7,126.0,24455932
TATASTEEL,125.9,2023-10-12,126.9,125.1,125.35,19361688
TATASTEEL,125.05,2023-10-13,125.75,124.0,125.0,26912800
TATASTEEL,127.0,2023-10-16,127.25,124.95,125.1,23868700
TATASTEEL,127.4,2023-10-17,128.55,127.0,127.9,24241710
TATASTEEL,127.1,2023-10-18,128.7,126.6,127.85,20926079
TATASTEEL,126.0,2023-10-19,126.5,124.35,125.5,30941319
TATASTEEL,123.1,2023-10-20,125.75,122.7,125.0,30746140
TATASTEEL,120.0,2023-10-23,123.4,119.7,123.35,30699479
TATASTEEL,121.35,2023-10-25,122.8,120.75,121.2,27346103
TATASTEEL,119.9,2023-10-26,120.9,118.9,120.85,36298907
TATASTEEL,119.9,2023-10-27,121.8,119.5,120.5,28424007
TATASTEEL,119.15,2023-10-30,121.25,118.95,121.05,18753217
TATASTEEL,118.75,2023-10-31,120.15,118.4,120.0,22319950
TATASTEEL,116.6,2023-11-01,119.1,116.0,119.0,24717941
TATASTEEL,118.1,2023-11-02,118.55,114.6,114.6,72538804
TATASTEEL,117.3,2023-11-03,118.6,117.1,118.2,31747230
TATASTEEL,119.4,2023-11-06,119.65,117.5,118.5,27883152
TATASTEEL,119.65,2023-11-07,120.2,118.4,119.3,25818033
TATASTEEL,119.05,2023-11-08,120.5,118.55,119.75,22552386
TATASTEEL,119.65,2023-11-09,120.5,118.85,119.2,22979112
TATASTEEL,120.05,2023-11-10,120.45,118.8,119.5,23584510
TATASTEEL,120.85,2023-11-12,121.6,120.6,121.6,3984034
TATASTEEL,121.0,2023-11-13,121.25,119.9,120.85,17951775
TATASTEEL,124.05,2023-11-15,124.4,121.5,121.7,38344393
TATASTEEL,124.7,2023-11-16,125.25,123.0,124.0,30836413
TATASTEEL,125.2,2023-11-17,125.75,124.3,124.7,23319439
TATASTEEL,124.35,2023-11-20,125.65,124.05,125.05,18780290
TATASTEEL,126.25,2023-11-21,126.4,124.95,125.05,29643312
TATASTEEL,126.1,2023-11-22,126.9,125.5,126.4,19588063
TATASTEEL,126.7,2023-11-23,127.4,125.9,126.35,30736851
TATASTEEL,125.95,2023-11-24,127.0,125.55,126.7,14719450
TATASTEEL,126.85,2023-11-28,127.0,126.0,127.0,18377843
TATASTEEL,127.75,2023-11-29,128.15,126.7,127.15,23092165
TATASTEEL,127.9,2023-11-30,128.85,126.5,127.8,40165104
TATASTEEL,130.0,2023-12-01,130.3,128.05,128.9,31192397
TATASTEEL,131.0,2023-12-04,132.35,130.4,132.2,41230928
TATASTEEL,131.6,2023-12-05,132.45,130.0,131.0,35192149
TATASTEEL,131.85,2023-12-06,133.4,130.8,132.5,40753593
TATASTEEL,130.0,2023-12-07,132.2,129.8,131.7,34686333
TATASTEEL,129.2,2023-12-08,131.4,127.95,130.15,34393711
TATASTEEL,130.05,2023-12-11,130.5,128.75,129.85,24038059
TATASTEEL,130.1,2023-12-12,132.15,129.7,130.05,30696410
TATASTEEL,131.4,2023-12-13,131.5,129.15,130.55,22767972
TATASTEEL,132.0,2023-12-14,133.25,131.5,132.3,43372143
TATASTEEL,136.45,2023-12-15,136.75,133.0,133.4,77377446
TATASTEEL,136.6,2023-12-18,137.6,135.1,136.85,38461877
TATASTEEL,135.4,2023-12-19,137.6,134.8,136.65,27726431
TATASTEEL,129.75,2023-12-20,136.15,128.75,135.9,39495961
TATASTEEL,131.0,2023-12-21,131.45,127.85,128.7,34914399
TATASTEEL,133.55,2023-12-22,134.75,131.75,132.4,37357334
TATASTEEL,135.2,2023-12-26,136.1,134.45,134.7,25936447
TATASTEEL,137.2,2023-12-27,138.9,135.5,135.85,48101400
TATASTEEL,138.15,2023-12-28,138.75,136.85,138.15,34661176
TATASTEEL,139.6,2023-12-29,141.25,137.15,138.6,49202910
TATASTEEL,139.85,2024-01-01,140.95,139.05,140.0,21186105
TATASTEEL,139.6,2024-01-02,140.6,137.05,140.5,27764060
TATASTEEL,135.35,2024-01-03,139.6,134.35,139.5,45176618
TATASTEEL,134.25,2024-01-04,136.35,134.0,136.0,43913498
TATASTEEL,133.65,2024-01-05,135.95,132.85,135.0,71330190
TATASTEEL,132.0,2024-01-08,135.95,131.75,135.3,39559717
TATASTEEL,133.65,2024-01-09,134.8,132.5,133.5,30736868
TATASTEEL,134.1,2024-01-10,134.7,132.1,133.8,27213624
TATASTEEL,134.9,2024-01-11,135.65,134.2,134.85,23113349
TATASTEEL,135.3,2024-01-12,136.25,134.65,135.8,32883921
TATASTEEL,134.9,2024-01-15,136.25,133.95,136.0,34158775
TATASTEEL,137.25,2024-01-16,138.5,134.0,134.7,56361287
TATASTEEL,131.65,2024-01-17,135.75,131.4,135.45,58982971
TATASTEEL,131.0,2024-01-18,132.25,128.2,131.65,45273496
TATASTEEL,134.25,2024-01-19,134.7,131.6,132.6,32653013
TATASTEEL,133.95,2024-01-20,135.2,133.3,134.25,16578179
TATASTEEL,130.1,2024-01-23,135.2,129.3,134.8,35373970
TATASTEEL,135.15,2024-01-24,135.55,130.1,130.2,39340119
TATASTEEL,133.75,2024-01-25,136.5,132.0,136.5,61358839
TATASTEEL,135.0,2024-01-29,135.4,133.5,134.7,29745400
TATASTEEL,134.7,2024-01-30,137.7,134.5,135.6,35704185
TATASTEEL,135.95,2024-01-31,136.7,134.5,135.0,36079354
TATASTEEL,134.8,2024-02-01,136.75,134.5,136.4,31701793
TATASTEEL,138.7,2024-02-02,139.6,134.8,135.3,69296192
TATASTEEL,141.55,2024-02-05,143.35,139.35,140.0,80737626
TATASTEEL,144.65,2024-02-06,145.1,140.45,143.0,53192936
TATASTEEL,144.4,2024-02-07,147.4,144.05,146.85,61517064
TATASTEEL,143.65,2024-02-08,145.65,143.05,145.3,38997666
TATASTEEL,141.3,2024-02-09,144.45,139.15,144.2,35961925
TATASTEEL,137.4,2024-02-12,142.95,136.65,142.0,36477544
TATASTEEL,137.85,2024-02-13,138.25,134.1,137.75,39155909
TATASTEEL,141.2,2024-02-14,141.5,135.75,137.0,29141690
TATASTEEL,141.2,2024-02-15,143.45,141.0,141.5,31587387
TATASTEEL,142.3,2024-02-16,143.45,141.5,142.05,22316127
TATASTEEL,141.95,2024-02-19,143.35,141.35,142.95,16973568
TATASTEEL,141.05,2024-02-20,142.25,140.05,141.95,24291123
TATASTEEL,143.9,2024-02-21,146.2,141.45,141.55,88000833
TATASTEEL,145.9,2024-02-22,146.15,143.5,145.0,46728176
TATASTEEL,145.45,2024-02-23,147.1,145.0,146.4,28414697
TATASTEEL,142.65,2024-02-26,145.95,142.25,145.85,22570277
TATASTEEL,144.2,2024-02-27,144.5,142.0,142.65,24119469
TATASTEEL,140.75,2024-02-28,144.95,140.05,144.05,20721926
TATASTEEL,140.85,2024-02-29,141.85,139.4,140.8,32248156
TATASTEEL,149.95,2024-03-01,150.65,143.0,143.0,123709943
TATASTEEL,155.25,2024-03-02,156.2,151.0,152.0,21643047
TATASTEEL,153.1,2024-03-04,154.9,151.05,154.9,67577785
TATASTEEL,151.85,2024-03-05,154.0,150.75,153.2,37165490
TATASTEEL,151.6,2024-03-06,152.65,147.9,151.8,51782444
TATASTEEL,157.25,2024-03-07,159.15,152.25,152.4,124847699
TATASTEEL,153.45,2024-03-11,158.9,153.0,158.9,54155385
TATASTEEL,152.5,2024-03-12,154.55,150.9,154.2,34947937
TATASTEEL,143.65,2024-03-13,152.9,142.5,152.8,70937597
TATASTEEL,142.45,2024-03-14,143.95,138.35,143.6,91956952
TATASTEEL,141.7,2024-03-15,143.7,139.85,142.9,68482621
TATASTEEL,149.7,2024-03-18,150.25,142.2,142.55,166913078
